Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8
2000,1,1,1,2000,1,8784,8784,1,4485.33725,3229.44282,8.07360705,80.7360705,1883.841645,64.5888564,888.0967755,7.1765396
,2,0.9,0.04,1800,,,,2,4221.314575,3039.346494,7.598366235,75.98366235,1772.952122,60.78692988,835.8202859,6.75410332
,3,0.55,0.024,1100,,,,3,4595.4399,3308.716728,8.27179182,82.7179182,1930.084758,66.17433456,909.8971002,7.35270384
,4,0.2,0.003,400,,,,4,5242.71525,3774.75498,9.43688745,94.3688745,2201.940405,75.4950996,1038.05762,8.3883444
,,,,,,,,5,5940.50745,4277.165364,10.69291341,106.9291341,2495.013129,85.54330728,1176.220475,9.50481192
,,,,,,,,6,6523.270625,4696.75485,11.74188713,117.4188713,2739.773663,93.935097,1291.607584,10.437233
,,,,,,,,7,6982.0163,5027.051736,12.56762934,125.6762934,2932.446846,100.5410347,1382.439227,11.17122608
,,,,,,,,8,7124.682175,5129.771166,12.82442792,128.2442792,2992.366514,102.5954233,1410.687071,11.39949148
,,,,,,,,9,7025.949,5058.68328,12.6467082,126.467082,2950.89858,101.1736656,1391.137902,11.2415184
,,,,,,,,10,6751.4668,4861.056096,12.15264024,121.5264024,2835.616056,97.22112192,1336.790426,10.80234688
,,,,,,,,11,6384.505175,4596.843726,11.49210932,114.9210932,2681.492174,91.93687452,1264.132025,10.21520828
,,,,,,,,12,5978.118175,4304.245086,10.76061272,107.6061272,2510.809634,86.08490172,1183.667399,9.56498908
,,,,,,,,13,5751.57635,4141.134972,10.35283743,103.5283743,2415.662067,82.82269944,1138.812117,9.20252216
,,,,,,,,14,5673.995725,4085.276922,10.21319231,102.1319231,2383.078205,81.70553844,1123.451154,9.07839316
,,,,,,,,15,5733.97075,4128.45894,10.32114735,103.2114735,2408.267715,82.5691788,1135.326209,9.1743532
,,,,,,,,16,5917.5617,4260.644424,10.65161106,106.5161106,2485.375914,85.21288848,1171.677217,9.46809872
,,,,,,,,17,6071.504825,4371.483474,10.92870869,109.2870869,2550.032027,87.42966948,1202.157955,9.71440772
,,,,,,,,18,6165.18425,4438.93266,11.09733165,110.9733165,2589.377385,88.7786532,1220.706482,9.8642948
,,,,,,,,19,6133.80545,4416.339924,11.04084981,110.4084981,2576.198289,88.32679848,1214.493479,9.81408872
,,,,,,,,20,5955.461775,4287.932478,10.7198312,107.198312,2501.293946,85.75864956,1179.181431,9.52873884
,,,,,,,,21,5740.057475,4132.841382,10.33210346,103.3210346,2410.82414,82.65682764,1136.53138,9.18409196
,,,,,,,,22,5528.710075,3980.671254,9.951678135,99.51678135,2322.058232,79.61342508,1094.684595,8.84593612
,,,,,,,,23,5423.11965,3904.646148,9.76161537,97.6161537,2277.710253,78.09292296,1073.777691,8.67699144
,,,,,,,,24,5530.107025,3981.677058,9.954192645,99.54192645,2322.644951,79.63354116,1094.961191,8.84817124
,,,,,,,,25,5720.67025,4118.88258,10.29720645,102.9720645,2402.681505,82.3776516,1132.69271,9.1530724
,,,,,,,,26,6140.6923,4421.298456,11.05324614,110.5324614,2579.090766,88.42596912,1215.857075,9.82510768
,,,,,,,,27,6676.401525,4807.009098,12.01752275,120.1752275,2804.088641,96.14018196,1321.927502,10.68224244
,,,,,,,,28,7278.8012,5240.736864,13.10184216,131.0184216,3057.096504,104.8147373,1441.202638,11.64608192
,,,,,,,,29,7906.53595,5692.705884,14.23176471,142.3176471,3320.745099,113.8541177,1565.494118,12.65045752
,,,,,,,,30,8394.516375,6044.05179,15.11012948,151.1012948,3525.696878,120.8810358,1662.114242,13.4312262
,,,,,,,,31,8634.4547,6216.807384,15.54201846,155.4201846,3626.470974,124.3361477,1709.622031,13.81512752
,,,,,,,,32,8586.8469,6182.529768,15.45632442,154.5632442,3606.475698,123.6505954,1700.195686,13.73895504
,,,,,,,,33,8254.886975,5943.518622,14.85879656,148.5879656,3467.05253,118.8703724,1634.467621,13.20781916
,,,,,,,,34,7726.3476,5562.970272,13.90742568,139.0742568,3245.065992,111.2594054,1529.816825,12.36215616
