region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,THERM,Cap_Size,STOR,LDS,FLEX,HYDRO,Commit,MUST_RUN,VRE,Num_VRE_Bins,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Existing_Cap_MW,Fuel,Reg_MAX,Rsv_Max,New_Build,Existing_Cap_MWh,Existing_Charge_Cap_MW,Heat_Rate_MMBTU_per_MWh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Min_Power
AERA_1,1,z1_natural_gas,natural_gas,1,1,1,1,19978,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,50678,0,0,0,0,5.08,0,0,0,19978,gas,0,0,0,0,0,7.43,1,1,0,0,0
AERA_1,1,z1_coal,coal,1,2,1,1,11664,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,99999,0,0,0,0,7,0,0,0,11664,coal,0,0,0,0,0,2.7,1,1,0,0,0
AERA_1,1,z1_nuclear,nuclear,1,3,1,1,2430,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,128440,0,0,0,0,2.32,0,0,0,2430,nuclear,0,0,0,0,0,10.46,1,1,0,0,0
AERA_2,2,z2_natural_gas,natural_gas,1,4,2,1,20761,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,10287,0,0,0,0,3.55,0,91,2,20761,gas,0,0,0,0,0,7.43,1,1,0,0,0
AERA_2,2,z2_coal,coal,1,5,2,1,3190,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,99999,0,0,0,0,7,0,91,2,3190,coal,0,0,0,0,0,2.7,1,1,0,0,0
AERA_2,2,z2_nuclear,nuclear,1,6,2,1,2708,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,12080,0,0,0,0,4.6,0,118,3.5,2708,nuclear,0,0,0,0,0,10.46,1,1,0,0,0
AERA_3,3,z3_natural_gas,natural_gas,1,7,3,1,80,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,99999,0,0,0,0,4.6,0,118,3.5,80,gas,0,0,0,0,0,7.43,1,1,0,0,0
AERA_3,3,z3_coal,coal,1,8,3,1,720,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,99999,0,0,0,0,7,0,86,13.7,720,coal,0,0,0,0,0,2.7,1,1,0,0,0
AERA_4,4,z4_natural_gas,natural_gas,1,9,4,1,3438,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,271818,0,0,0,0,2.32,0,245,0,3438,nuclear,0,0,0,0,0,10.46,1,1,0,0,0
AERA_5,5,z5_natural_gas_1,natural_gas,1,10,5,1,10589,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,128440,0,0,0,0,2.32,0,0,0,10589,nuclear,0,0,0,0,0,10.46,1,1,0,0,0
AERA_5,5,z5_coal,coal,1,11,5,1,5728,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,99999,0,0,0,0,7,0,0,0,5728,coal,0,0,0,0,0,2.7,1,1,0,0,0
AREA_7,7,z6_nuclear,nuclear,1,12,6,1,7385,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,128440,0,0,0,0,2.32,0,0,0,7385,nuclear,0,0,0,0,0,10.46,1,1,0,0,0
AREA_7,7,z6_coal,coal,1,13,6,1,622,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,99999,0,0,0,0,7,0,0,0,622,coal,0,0,0,0,0,2.7,1,1,0,0,0
AREA_1,1,z1_solar,solar,1,14,1,0,7,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,7,None,0,0,0,0,0,0,1,1,0,0,0
AREA_1,1,z1_wind,wind,1,15,1,0,1674,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1674,None,0,0,0,0,0,0,1,1,0,0,0
AREA_3,3,z3_solar,solar,1,16,3,0,100,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,100,None,0,0,0,0,0,0,1,1,0,0,0
AREA_3,3,z3_wind,wind,1,17,3,0,2442,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,2442,None,0,0,0,0,0,0,1,1,0,0,0
AREA_4,4,z4_solar,solar,1,18,4,0,190,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,190,None,0,0,0,0,0,0,1,1,0,0,0
AREA_4,4,z4_wind,wind,1,19,4,0,8730,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,8730,None,0,0,0,0,0,0,1,1,0,0,0
AREA_5,5,z5_solar,wind,1,20,5,0,127.5,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,127.5,None,0,0,0,0,0,0,1,1,0,0,0
AREA_6,6,z7_solar,solar,1,21,7,0,139,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,139,None,0,0,0,0,0,0,1,1,0,0,0
