Time_Index,gas,coal,nuclear,None
0,3.14,1.67,0.69,0
1,3.14,1.67,0.69,0
2,3.14,1.67,0.69,0
3,3.14,1.67,0.69,0
4,3.14,1.67,0.69,0
5,3.14,1.67,0.69,0
6,3.14,1.67,0.69,0
7,3.14,1.67,0.69,0
8,3.14,1.67,0.69,0
9,3.14,1.67,0.69,0
10,3.14,1.67,0.69,0
11,3.14,1.67,0.69,0
12,3.14,1.67,0.69,0
13,3.14,1.67,0.69,0
14,3.14,1.67,0.69,0
15,3.14,1.67,0.69,0
16,3.14,1.67,0.69,0
17,3.14,1.67,0.69,0
18,3.14,1.67,0.69,0
19,3.14,1.67,0.69,0
20,3.14,1.67,0.69,0
21,3.14,1.67,0.69,0
22,3.14,1.67,0.69,0
23,3.14,1.67,0.69,0
24,3.14,1.67,0.69,0
