Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64,Load_MW_z65,Load_MW_z66,Load_MW_z67,Load_MW_z68,Load_MW_z69,Load_MW_z70,Load_MW_z71,Load_MW_z72,Load_MW_z73,Load_MW_z74,Load_MW_z75,Load_MW_z76,Load_MW_z77,Load_MW_z78,Load_MW_z79,Load_MW_z80,Load_MW_z81,Load_MW_z82,Load_MW_z83,Load_MW_z84
2000,1,1,1,2000,1,24,24,1,9252.94695,6662.12181,0,0,3701.17878,0,1850.58939,0,10.3633006,8.88282908,11.1035363,0,7.40235756,11.8437721,12.5840079,0,5.55176817,0,0,7.40235756,4.44141454,15.5449509,16.6553045,0,0,0,7.03223969,8.14259332,9.25294695,11.4736542,7.77247544,8.14259332,20.7266012,3.3310609,6.66212181,9.99318271,5.55176817,14.8047151,3.3310609,6.66212181,18.5058939,0,0,0,0,8.88282908,11.8437721,8.14259332,6.29200393,4.81153242,9.62306483,6.29200393,7.40235756,6.29200393,6.66212181,7.03223969,5.55176817,9.25294695,9.99318271,7.40235756,19.02776012,24.0576621,14.0644794,0,11.1035363,11.4736542,8.14259332,7.40235756,8.5127112,14.4345972,24.0576621,15.5449509,0,17.0254224,0,0,0,0,11.1035363,10.3633006,0,0.814259332,3.442096267,16.32219843
,2,0.9,0.04,1800,,,,2,9252.94695,6662.12181,0,0,3701.17878,0,1850.58939,0,10.3633006,8.88282908,11.1035363,0,7.40235756,11.8437721,12.5840079,0,5.55176817,0,0,7.40235756,4.44141454,15.5449509,16.6553045,0,0,0,7.03223969,8.14259332,9.25294695,11.4736542,7.77247544,8.14259332,20.7266012,3.3310609,6.66212181,9.99318271,5.55176817,14.8047151,3.3310609,6.66212181,18.5058939,0,0,0,0,8.88282908,11.8437721,8.14259332,6.29200393,4.81153242,9.62306483,6.29200393,7.40235756,6.29200393,6.66212181,7.03223969,5.55176817,9.25294695,9.99318271,7.40235756,19.02776012,24.0576621,14.0644794,0,11.1035363,11.4736542,8.14259332,7.40235756,8.5127112,14.4345972,24.0576621,15.5449509,0,17.0254224,0,0,0,0,11.1035363,10.3633006,0,0.814259332,3.442096267,16.32219843
,3,0.55,0.024,1100,,,,3,7102.1611,5113.55599,0,0,2840.86444,0,1420.43222,0,7.95442043,6.81807466,8.52259332,0,5.68172888,9.09076621,9.6589391,0,4.26129666,0,0,5.68172888,3.40903733,11.9316306,12.78389,0,0,0,5.39764244,6.24990177,7.1021611,8.80667976,5.96581532,6.24990177,15.9088409,2.556778,5.11355599,7.67033399,4.26129666,11.3634578,2.556778,5.11355599,14.2043222,0,0,0,0,6.81807466,9.09076621,6.24990177,4.82946955,3.69312377,7.38624754,4.82946955,5.68172888,4.82946955,5.11355599,5.39764244,4.26129666,7.1021611,7.67033399,5.68172888,14.60488409,18.4656189,10.7952849,0,8.52259332,8.80667976,6.24990177,5.68172888,6.53398821,11.0793713,18.4656189,11.9316306,0,13.0679764,0,0,0,0,8.52259332,7.95442043,0,0.624990177,2.642003929,12.52821218
,4,0.2,0.003,400,,,,4,6113.94892,4402.04322,0,0,2445.57957,0,1222.78978,0,6.84762279,5.86939096,7.3367387,0,4.89115914,7.82585462,8.31497053,0,3.66836935,0,0,4.89115914,2.93469548,10.2714342,11.0051081,0,0,0,4.64660118,5.38027505,6.11394892,7.58129666,5.13571709,5.38027505,13.6952456,2.20102161,4.40204322,6.60306483,3.66836935,9.78231827,2.20102161,4.40204322,12.2278978,0,0,0,0,5.86939096,7.82585462,5.38027505,4.15748527,3.17925344,6.35850688,4.15748527,4.89115914,4.15748527,4.40204322,4.64660118,3.66836935,6.11394892,6.60306483,4.89115914,12.57272456,15.8962672,9.29320236,0,7.3367387,7.58129666,5.38027505,4.89115914,5.62483301,9.53776031,15.8962672,10.2714342,0,11.249666,0,0,0,0,7.3367387,6.84762279,0,0.538027505,2.274388998,10.78500589
,,,,,,,,5,5660.11788,4075.28487,0,0,2264.04715,0,1132.02358,0,6.33933202,5.43371316,6.79214145,0,4.5280943,7.24495088,7.69776031,0,3.39607073,0,0,4.5280943,2.71685658,9.50899804,10.1882122,0,0,0,4.30168959,4.98090373,5.66011788,7.01854617,4.75449902,4.98090373,12.678664,2.03764244,4.07528487,6.11292731,3.39607073,9.05618861,2.03764244,4.07528487,11.3202358,0,0,0,0,5.43371316,7.24495088,4.98090373,3.84888016,2.9432613,5.88652259,3.84888016,4.5280943,3.84888016,4.07528487,4.30168959,3.39607073,5.66011788,6.11292731,4.5280943,11.6394664,14.7163065,8.60337917,0,6.79214145,7.01854617,4.98090373,4.5280943,5.20730845,8.82978389,14.7163065,9.50899804,0,10.4146169,0,0,0,0,6.79214145,6.33933202,0,0.498090373,2.105563851,9.984447937
,,,,,,,,6,4853.14342,3494.26326,0,0,1941.25737,0,970.628684,0,5.43552063,4.65901768,5.8237721,0,3.88251473,6.21202358,6.60027505,0,2.91188605,0,0,3.88251473,2.32950884,8.15328094,8.73565815,0,0,0,3.688389,4.27076621,4.85314342,6.01789784,4.07664047,4.27076621,10.8710413,1.74713163,3.49426326,5.24139489,2.91188605,7.76502947,1.74713163,3.49426326,9.70628684,0,0,0,0,4.65901768,6.21202358,4.27076621,3.30013752,2.52363458,5.04726916,3.30013752,3.88251473,3.30013752,3.49426326,3.688389,2.91188605,4.85314342,5.24139489,3.88251473,9.980004126,12.6181729,7.376778,0,5.8237721,6.01789784,4.27076621,3.88251473,4.46489194,7.57090373,12.6181729,8.15328094,0,8.92978389,0,0,0,0,5.8237721,5.43552063,0,0.427076621,1.805369352,8.56094499
,,,,,,,,7,3356.09037,2416.38507,0,0,1342.43615,0,671.218075,0,3.75882122,3.22184676,4.02730845,0,2.6848723,4.29579568,4.56428291,0,2.01365422,0,0,2.6848723,1.61092338,5.63823183,6.04096267,0,0,0,2.55062868,2.95335953,3.35609037,4.16155206,2.81911591,2.95335953,7.51764244,1.20819253,2.41638507,3.6245776,2.01365422,5.3697446,1.20819253,2.41638507,6.71218075,0,0,0,0,3.22184676,4.29579568,2.95335953,2.28214145,1.74516699,3.49033399,2.28214145,2.6848723,2.28214145,2.41638507,2.55062868,2.01365422,3.35609037,3.6245776,2.6848723,6.901464244,8.72583497,5.10125737,0,4.02730845,4.16155206,2.95335953,2.6848723,3.08760314,5.23550098,8.72583497,5.63823183,0,6.17520629,0,0,0,0,4.02730845,3.75882122,0,0.295335953,1.248465619,5.920143418
,,,,,,,,8,3227.40668,2323.73281,0,0,1290.96267,0,645.481336,0,3.61469548,3.09831041,3.87288802,0,2.58192534,4.13108055,4.38927308,0,1.93644401,0,0,2.58192534,1.54915521,5.42204322,5.80933202,0,0,0,2.45282908,2.84011788,3.22740668,4.00198428,2.71102161,2.84011788,7.22939096,1.1618664,2.32373281,3.48559921,1.93644401,5.16385069,1.1618664,2.32373281,6.45481336,0,0,0,0,3.09831041,4.13108055,2.84011788,2.19463654,1.67825147,3.35650295,2.19463654,2.58192534,2.19463654,2.32373281,2.45282908,1.93644401,3.22740668,3.48559921,2.58192534,6.636839096,8.39125737,4.90565815,0,3.87288802,4.00198428,2.84011788,2.58192534,2.96921415,5.03475442,8.39125737,5.42204322,0,5.93842829,0,0,0,0,3.87288802,3.61469548,0,0.284011788,1.200595285,5.693145383
,,,,,,,,9,3575.14735,2574.10609,0,0,1430.05894,0,715.02947,0,4.00416503,3.43214145,4.29017682,0,2.86011788,4.57618861,4.86220039,0,2.14508841,0,0,2.86011788,1.71607073,6.00624754,6.43526523,0,0,0,2.71711198,3.14612967,3.57514735,4.43318271,3.00312377,3.14612967,8.00833006,1.28705305,2.57410609,3.86115914,2.14508841,5.72023576,1.28705305,2.57410609,7.1502947,0,0,0,0,3.43214145,4.57618861,3.14612967,2.4311002,1.85907662,3.71815324,2.4311002,2.86011788,2.4311002,2.57410609,2.71711198,2.14508841,3.57514735,3.86115914,2.86011788,7.351933006,9.2953831,5.43422397,0,4.29017682,4.43318271,3.14612967,2.86011788,3.28913556,5.57722986,9.2953831,6.00624754,0,6.57827112,0,0,0,0,4.29017682,4.00416503,0,0.314612967,1.329954813,6.306559921
,,,,,,,,10,4707.76031,3389.58743,0,0,1883.10413,0,941.552063,0,5.27269155,4.5194499,5.64931238,0,3.76620825,6.0259332,6.40255403,0,2.82465619,0,0,3.76620825,2.25972495,7.90903733,8.47396857,0,0,0,3.57789784,4.14282908,4.70776031,5.83762279,3.95451866,4.14282908,10.5453831,1.69479371,3.38958743,5.08438114,2.82465619,7.5324165,1.69479371,3.38958743,9.41552063,0,0,0,0,4.5194499,6.0259332,4.14282908,3.20127701,2.44803536,4.89607073,3.20127701,3.76620825,3.20127701,3.38958743,3.57789784,2.82465619,4.70776031,5.08438114,3.76620825,9.68103831,12.2401768,7.15579568,0,5.64931238,5.83762279,4.14282908,3.76620825,4.33113949,7.34410609,12.2401768,7.90903733,0,8.66227898,0,0,0,0,5.64931238,5.27269155,0,0.414282908,1.751286837,8.304489194
,,,,,,,,11,5940.07859,4276.85658,0,0,2376.03143,0,1188.01572,0,6.65288802,5.70247544,7.1280943,0,4.75206287,7.60330059,8.07850688,0,3.56404715,0,0,4.75206287,2.85123772,9.97933202,10.6921415,0,0,0,4.51445972,5.22726916,5.94007859,7.36569745,4.98966601,5.22726916,13.305776,2.13842829,4.27685658,6.41528487,3.56404715,9.50412574,2.13842829,4.27685658,11.8801572,0,0,0,0,5.70247544,7.60330059,5.22726916,4.03925344,3.08884086,6.17768173,4.03925344,4.75206287,4.03925344,4.27685658,4.51445972,3.56404715,5.94007859,6.41528487,4.75206287,12.2151776,15.4442043,9.02891945,0,7.1280943,7.36569745,5.22726916,4.75206287,5.4648723,9.26652259,15.4442043,9.97933202,0,10.9297446,0,0,0,0,7.1280943,6.65288802,0,0.522726916,2.209709234,10.47829862
,,,,,,,,12,7476.42436,5383.02554,0,0,2990.56974,0,1495.28487,0,8.37359528,7.17736739,8.97170923,0,5.98113949,9.56982318,10.1679371,0,4.48585462,0,0,5.98113949,3.58868369,12.5603929,13.4575639,0,0,0,5.68208251,6.57925344,7.47642436,9.27076621,6.28019646,6.57925344,16.7471906,2.69151277,5.38302554,8.07453831,4.48585462,11.962279,2.69151277,5.38302554,14.9528487,0,0,0,0,7.17736739,9.56982318,6.57925344,5.08396857,3.88774067,7.77548134,5.08396857,5.98113949,5.08396857,5.38302554,5.68208251,4.48585462,7.47642436,8.07453831,5.98113949,15.37451906,19.4387033,11.364165,0,8.97170923,9.27076621,6.57925344,5.98113949,6.87831041,11.663222,19.4387033,12.5603929,0,13.7566208,0,0,0,0,8.97170923,8.37359528,0,0.657925344,2.781229862,13.18841257
,,,,,,,,13,7919.4499,5702.00393,0,0,3167.77996,0,1583.88998,0,8.86978389,7.60267191,9.50333988,0,6.33555992,10.1368959,10.7704519,0,4.75166994,0,0,6.33555992,3.80133595,13.3046758,14.2550098,0,0,0,6.01878193,6.96911591,7.9194499,9.82011788,6.65233792,6.96911591,17.7395678,2.85100196,5.70200393,8.55300589,4.75166994,12.6711198,2.85100196,5.70200393,15.8388998,0,0,0,0,7.60267191,10.1368959,6.96911591,5.38522593,4.11811395,8.2362279,5.38522593,6.33555992,5.38522593,5.70200393,6.01878193,4.75166994,7.9194499,8.55300589,6.33555992,16.28555678,20.5905697,12.0375639,0,9.50333988,9.82011788,6.96911591,6.33555992,7.28589391,12.3543418,20.5905697,13.3046758,0,14.5717878,0,0,0,0,9.50333988,8.86978389,0,0.696911591,2.946035363,13.96990963
