Time_Index,natural_gas,None
0,3.56,0
1,3.56,0
2,3.56,0
3,3.56,0
4,3.56,0
5,3.56,0
6,3.56,0
7,3.56,0
8,3.56,0
9,3.56,0
10,3.56,0
11,3.56,0
12,3.56,0
13,3.56,0
14,3.56,0
15,3.56,0
16,3.56,0
17,3.56,0
18,3.56,0
19,3.56,0
20,3.56,0
21,3.56,0
22,3.56,0
23,3.56,0
24,3.56,0
25,3.56,0
26,3.56,0
27,3.56,0
28,3.56,0
29,3.56,0
30,3.56,0
31,3.56,0
32,3.56,0
33,3.56,0
34,3.56,0
35,3.56,0
36,3.56,0
37,3.56,0
38,3.56,0
39,3.56,0
40,3.56,0
41,3.56,0
42,3.56,0
43,3.56,0
44,3.56,0
45,3.56,0
46,3.56,0
47,3.56,0
48,3.56,0
49,3.56,0
50,3.56,0
51,3.56,0
52,3.56,0
53,3.56,0
54,3.56,0
55,3.56,0
56,3.56,0
57,3.56,0
58,3.56,0
59,3.56,0
60,3.56,0
61,3.56,0
62,3.56,0
63,3.56,0
64,3.56,0
65,3.56,0
66,3.56,0
67,3.56,0
68,3.56,0
69,3.56,0
70,3.56,0
71,3.56,0
72,3.56,0
73,3.56,0
74,3.56,0
75,3.56,0
76,3.56,0
77,3.56,0
78,3.56,0
79,3.56,0
80,3.56,0
81,3.56,0
82,3.56,0
83,3.56,0
84,3.56,0
85,3.56,0
86,3.56,0
87,3.56,0
88,3.56,0
89,3.56,0
90,3.56,0
91,3.56,0
92,3.56,0
93,3.56,0
94,3.56,0
95,3.56,0
96,3.56,0
97,3.56,0
98,3.56,0
99,3.56,0
100,3.56,0
101,3.56,0
102,3.56,0
103,3.56,0
104,3.56,0
105,3.56,0
106,3.56,0
107,3.56,0
108,3.56,0
109,3.56,0
110,3.56,0
111,3.56,0
112,3.56,0
113,3.56,0
114,3.56,0
115,3.56,0
116,3.56,0
117,3.56,0
118,3.56,0
119,3.56,0
120,3.56,0
121,3.56,0
122,3.56,0
123,3.56,0
124,3.56,0
125,3.56,0
126,3.56,0
127,3.56,0
128,3.56,0
129,3.56,0
130,3.56,0
131,3.56,0
132,3.56,0
133,3.56,0
134,3.56,0
135,3.56,0
136,3.56,0
137,3.56,0
138,3.56,0
139,3.56,0
140,3.56,0
141,3.56,0
142,3.56,0
143,3.56,0
144,3.56,0
