Time_Index,Gen1,Gen3,Gen6,Wind6,PV2,BESS2,BESS5,BESS6
0,1,1,1,0.4053,0.000333333,1,1,1
1,1,1,1,0.3496,0.000333333,1,1,1
2,1,1,1,0.3082,0.000333333,1,1,1
3,1,1,1,0.2909,0.000333333,1,1,1
4,1,1,1,0.2541,0.000333333,1,1,1
5,1,1,1,0.2254,0.000333333,1,1,1
6,1,1,1,0.1851,0.000333333,1,1,1
7,1,1,1,0.1575,0.000333333,1,1,1
8,1,1,1,0.1512,0.0752,1,1,1
9,1,1,1,0.1178,0.2541,1,1,1
10,1,1,1,0.0954,0.3735,1,1,1
11,1,1,1,0.0822,0.272,1,1,1
12,1,1,1,0.0856,0.2249,1,1,1
13,1,1,1,0.0776,0.2934,1,1,1
14,1,1,1,0.1023,0.3397,1,1,1
15,1,1,1,0.096,0.1581,1,1,1
16,1,1,1,0.0919,0.0396,1,1,1
17,1,1,1,0.0891,0.0098,1,1,1
18,1,1,1,0.1098,0.000333333,1,1,1
19,1,1,1,0.1259,0.000333333,1,1,1
20,1,1,1,0.1299,0.000333333,1,1,1
21,1,1,1,0.1029,0.000333333,1,1,1
22,1,1,1,0.0776,0.000333333,1,1,1
23,1,1,1,0.0609,0.000333333,1,1,1
24,1,1,1,0.5048,0.000333333,1,1,1
25,1,1,1,0.4956,0.000333333,1,1,1
26,1,1,1,0.5106,0.000333333,1,1,1
27,1,1,1,0.5238,0.000333333,1,1,1
28,1,1,1,0.5359,0.000333333,1,1,1
29,1,1,1,0.5284,0.000333333,1,1,1
30,1,1,1,0.5255,0.000333333,1,1,1
31,1,1,1,0.5267,0.0277,1,1,1
32,1,1,1,0.5641,0.1463,1,1,1
33,1,1,1,0.5485,0.307,1,1,1
34,1,1,1,0.5163,0.292,1,1,1
35,1,1,1,0.4836,0.379,1,1,1
36,1,1,1,0.4933,0.2665,1,1,1
37,1,1,1,0.479,0.2865,1,1,1
38,1,1,1,0.4709,0.2749,1,1,1
39,1,1,1,0.491,0.2093,1,1,1
40,1,1,1,0.4956,0.1223,1,1,1
41,1,1,1,0.5043,0.0376,1,1,1
42,1,1,1,0.5181,0.000333333,1,1,1
43,1,1,1,0.5002,0.000333333,1,1,1
44,1,1,1,0.5365,0.000333333,1,1,1
45,1,1,1,0.5054,0.000333333,1,1,1
46,1,1,1,0.4502,0.000333333,1,1,1
47,1,1,1,0.3611,0.000333333,1,1,1
48,1,1,1,0.3887,0.000333333,1,1,1
49,1,1,1,0.2863,0.000333333,1,1,1
