Time_Index,Gen1,Gen3,Gen6,Wind6,PV2,BESS2,BESS5,BESS6
0,1,1,1,0.431475,0,1,1,1
1,1,1,1,0.387702,0,1,1,1
2,1,1,1,0.332986,0,1,1,1
3,1,1,1,0.312663,0,1,1,1
4,1,1,1,0.295987,0,1,1,1
5,1,1,1,0.284523,0,1,1,1
6,1,1,1,0.322564,0,1,1,1
7,1,1,1,0.296509,0.000285,1,1,1
8,1,1,1,0.262637,0.055936,1,1,1
9,1,1,1,0.177176,0.149258,1,1,1
10,1,1,1,0.133403,0.158676,1,1,1
11,1,1,1,0.144346,0.20976,1,1,1
12,1,1,1,0.155289,0.220034,1,1,1
13,1,1,1,0.129234,0.243721,1,1,1
14,1,1,1,0.098489,0.202055,1,1,1
15,1,1,1,0.085982,0.136701,1,1,1
16,1,1,1,0.114643,0.030537,1,1,1
17,1,1,1,0.133403,0,1,1,1
18,1,1,1,0.195414,0,1,1,1
19,1,1,1,0.277228,0,1,1,1
20,1,1,1,0.308494,0,1,1,1
21,1,1,1,0.293903,0,1,1,1
22,1,1,1,0.302762,0,1,1,1
23,1,1,1,0.3679,0,1,1,1
24,1,1,1,0.411152,0,1,1,1
25,1,1,1,0.410109,0,1,1,1
26,1,1,1,0.35852,0,1,1,1
27,1,1,1,0.331944,0,1,1,1
28,1,1,1,0.361647,0,1,1,1
29,1,1,1,0.333507,0,1,1,1
30,1,1,1,0.288171,0,1,1,1
31,1,1,1,0.237624,0.000285,1,1,1
32,1,1,1,0.178218,0.022831,1,1,1
33,1,1,1,0.165711,0.141838,1,1,1
34,1,1,1,0.140177,0.183219,1,1,1
35,1,1,1,0.143825,0.179224,1,1,1
36,1,1,1,0.120375,0.179224,1,1,1
37,1,1,1,0.097968,0.200057,1,1,1
38,1,1,1,0.077124,0.218037,1,1,1
39,1,1,1,0.079208,0.119292,1,1,1
40,1,1,1,0.08494,0.02911,1,1,1
41,1,1,1,0.107869,0,1,1,1
42,1,1,1,0.117249,0,1,1,1
43,1,1,1,0.154768,0,1,1,1
44,1,1,1,0.173007,0,1,1,1
45,1,1,1,0.158937,0,1,1,1
46,1,1,1,0.150078,0,1,1,1
47,1,1,1,0.150599,0,1,1,1
48,1,1,1,0.155289,0,1,1,1
49,1,1,1,0.131318,0,1,1,1
50,1,1,1,0.125065,0,1,1,1
51,1,1,1,0.132361,0,1,1,1
52,1,1,1,0.147473,0,1,1,1
53,1,1,1,0.198541,0,1,1,1
54,1,1,1,0.253257,0,1,1,1
55,1,1,1,0.293382,0.000285,1,1,1
