Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
2000000,1,1,1,2000,144,1,37,1,52.959905,158.879715,26.4799525,105.91981,158.879715,397.1992875
,2,0.9,0.04,1800,,,37,2,51.581485,154.744455,25.7907425,103.16297,154.744455,386.8611375
,3,0.55,0.024,1100,,,37,3,51.50584,154.51752,25.75292,103.01168,154.51752,386.2938
,4,0.2,0.003,400,,,37,4,51.346145,154.038435,25.6730725,102.69229,154.038435,385.0960875
,,,,,,,37,5,51.800015,155.400045,25.9000075,103.60003,155.400045,388.5001125
,,,,,,,37,6,53.581875,160.745625,26.7909375,107.16375,160.745625,401.8640625
,,,,,,,37,7,57.280075,171.840225,28.6400375,114.56015,171.840225,429.6005625
,,,,,,,37,8,61.079135,183.237405,30.5395675,122.15827,183.237405,458.0935125
,,,,,,,37,9,61.82718,185.48154,30.91359,123.65436,185.48154,463.70385
,,,,,,,37,10,59.498995,178.496985,29.7494975,118.99799,178.496985,446.2424625
,,,,,,,37,11,57.97769,173.93307,28.988845,115.95538,173.93307,434.832675
,,,,,,,37,12,57.515415,172.546245,28.7577075,115.03083,172.546245,431.3656125
,,,,,,,37,13,56.691725,170.075175,28.3458625,113.38345,170.075175,425.1879375
,,,,,,,37,14,56.187425,168.562275,28.0937125,112.37485,168.562275,421.4056875
,,,,,,,37,15,56.22945,168.68835,28.114725,112.4589,168.68835,421.720875
,,,,,,,37,16,57.72554,173.17662,28.86277,115.45108,173.17662,432.94155
,,,,,,,37,17,60.26385,180.79155,30.131925,120.5277,180.79155,451.978875
,,,,,,,37,18,64.29825,192.89475,32.149125,128.5965,192.89475,482.236875
,,,,,,,37,19,65.096725,195.290175,32.5483625,130.19345,195.290175,488.2254375
,,,,,,,37,20,62.995475,188.986425,31.4977375,125.99095,188.986425,472.4660625
,,,,,,,37,21,61.62546,184.87638,30.81273,123.25092,184.87638,462.19095
,,,,,,,37,22,59.10396,177.31188,29.55198,118.20792,177.31188,443.2797
,,,,,,,37,23,55.632695,166.898085,27.8163475,111.26539,166.898085,417.2452125
,,,,,,,37,24,52.690945,158.072835,26.3454725,105.38189,158.072835,395.1820875
,,,,,,,54,25,46.76542,140.29626,23.38271,93.53084,140.29626,350.74065
,,,,,,,54,26,45.597125,136.791375,22.7985625,91.19425,136.791375,341.9784375
,,,,,,,54,27,45.344975,136.034925,22.6724875,90.68995,136.034925,340.0873125
,,,,,,,54,28,45.513075,136.539225,22.7565375,91.02615,136.539225,341.3480625
,,,,,,,54,29,46.83266,140.49798,23.41633,93.66532,140.49798,351.24495
,,,,,,,54,30,49.076795,147.230385,24.5383975,98.15359,147.230385,368.0759625
,,,,,,,54,31,52.842235,158.526705,26.4211175,105.68447,158.526705,396.3167625
,,,,,,,54,32,57.313695,171.941085,28.6568475,114.62739,171.941085,429.8527125
,,,,,,,54,33,59.5074,178.5222,29.7537,119.0148,178.5222,446.3055
,,,,,,,54,34,59.145985,177.437955,29.5729925,118.29197,177.437955,443.5948875
,,,,,,,54,35,58.540825,175.622475,29.2704125,117.08165,175.622475,439.0561875
,,,,,,,54,36,58.61647,175.84941,29.308235,117.23294,175.84941,439.623525
,,,,,,,54,37,59.162795,177.488385,29.5813975,118.32559,177.488385,443.7209625
,,,,,,,54,38,58.54923,175.64769,29.274615,117.09846,175.64769,439.119225
,,,,,,,54,39,57.86002,173.58006,28.93001,115.72004,173.58006,433.95015
,,,,,,,54,40,58.372725,175.118175,29.1863625,116.74545,175.118175,437.7954375
,,,,,,,54,41,61.17159,183.51477,30.585795,122.34318,183.51477,458.786925
,,,,,,,54,42,65.17237,195.51711,32.586185,130.34474,195.51711,488.792775
,,,,,,,54,43,67.45853,202.37559,33.729265,134.91706,202.37559,505.938975
,,,,,,,54,44,67.063495,201.190485,33.5317475,134.12699,201.190485,502.9762125
,,,,,,,54,45,65.49176,196.47528,32.74588,130.98352,196.47528,491.1882
,,,,,,,54,46,63.05431,189.16293,31.527155,126.10862,189.16293,472.907325
,,,,,,,54,47,60.255445,180.766335,30.1277225,120.51089,180.766335,451.9158375
,,,,,,,54,48,57.22124,171.66372,28.61062,114.44248,171.66372,429.1593
,,,,,,,86,49,43.378205,130.134615,21.6891025,86.75641,130.134615,325.3365375
,,,,,,,86,50,42.57973,127.73919,21.289865,85.15946,127.73919,319.347975
,,,,,,,86,51,42.403225,127.209675,21.2016125,84.80645,127.209675,318.0241875
,,,,,,,86,52,42.588135,127.764405,21.2940675,85.17627,127.764405,319.4110125
,,,,,,,86,53,44.134655,132.403965,22.0673275,88.26931,132.403965,331.0099125
,,,,,,,86,54,46.93352,140.80056,23.46676,93.86704,140.80056,352.0014
,,,,,,,86,55,49.74079,149.22237,24.870395,99.48158,149.22237,373.055925
,,,,,,,86,56,51.90928,155.72784,25.95464,103.81856,155.72784,389.3196
,,,,,,,86,57,52.66573,157.99719,26.332865,105.33146,157.99719,394.992975
,,,,,,,86,58,52.31272,156.93816,26.15636,104.62544,156.93816,392.3454
