Time_Index,z1_natural_gas,z1_coal,z1_nuclear,z2_natural_gas,z2_coal,z2_nuclear,z3_natural_gas,z3_coal,z4_natural_gas,z5_natural_gas,z5_coal,z7_natural_gas,z7_coal,z1_solar,z1_wind,z3_solar,z3_wind,z4_solar,z4_wind,z5_solar,z7_solar,z7_wind,z6_wind,z8_solar
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.431475,0,0.431475,0,0.431475,0,0,0.431475,0.431475,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.387702,0,0.387702,0,0.387702,0,0,0.387702,0.387702,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.332986,0,0.332986,0,0.332986,0,0,0.332986,0.332986,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.312663,0,0.312663,0,0.312663,0,0,0.312663,0.312663,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.295987,0,0.295987,0,0.295987,0,0,0.295987,0.295987,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.284523,0,0.284523,0,0.284523,0,0,0.284523,0.284523,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.322564,0,0.322564,0,0.322564,0,0,0.322564,0.322564,0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.296509,0,0.296509,0,0.296509,0,0,0.296509,0.296509,0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0921,0.262637,0.0921,0.262637,0.0921,0.262637,0.0921,0.0921,0.262637,0.262637,0.0921
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3908,0.177176,0.3908,0.177176,0.3908,0.177176,0.3908,0.3908,0.177176,0.177176,0.3908
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5199,0.133403,0.5199,0.133403,0.5199,0.133403,0.5199,0.5199,0.133403,0.133403,0.5199
11,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5648,0.144346,0.5648,0.144346,0.5648,0.144346,0.5648,0.5648,0.144346,0.144346,0.5648
12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5842,0.155289,0.5842,0.155289,0.5842,0.155289,0.5842,0.5842,0.155289,0.155289,0.5842
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5502,0.129234,0.5502,0.129234,0.5502,0.129234,0.5502,0.5502,0.129234,0.129234,0.5502
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4342,0.098489,0.4342,0.098489,0.4342,0.098489,0.4342,0.4342,0.098489,0.098489,0.4342
15,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2639,0.085982,0.2639,0.085982,0.2639,0.085982,0.2639,0.2639,0.085982,0.085982,0.2639
16,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0101,0.114643,0.0101,0.114643,0.0101,0.114643,0.0101,0.0101,0.114643,0.114643,0.0101
17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.133403,0,0.133403,0,0.133403,0,0,0.133403,0.133403,0
18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.195414,0,0.195414,0,0.195414,0,0,0.195414,0.195414,0
19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.277228,0,0.277228,0,0.277228,0,0,0.277228,0.277228,0
20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.308494,0,0.308494,0,0.308494,0,0,0.308494,0.308494,0
21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.293903,0,0.293903,0,0.293903,0,0,0.293903,0.293903,0
22,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.302762,0,0.302762,0,0.302762,0,0,0.302762,0.302762,0
23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.3679,0,0.3679,0,0.3679,0,0,0.3679,0.3679,0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.411152,0,0.411152,0,0.411152,0,0,0.411152,0.411152,0
25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.410109,0,0.410109,0,0.410109,0,0,0.410109,0.410109,0
26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.35852,0,0.35852,0,0.35852,0,0,0.35852,0.35852,0
27,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.331944,0,0.331944,0,0.331944,0,0,0.331944,0.331944,0
